,unixtime,location,currency,buy_price,buy_quantity,sell_price,sell_quantity
27,1578430367.3,AGXSG,EUR,528,26.708,535,3
28,1578430367.3,PTXLN,USD,31060,0.638,31330,0.654
29,1578430367.3,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430367.3,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430372.4,AUXZU,USD,50410,0.056,50570,0.948
1,1578430372.4,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430372.4,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430372.4,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430372.4,AUXLN,USD,50410,0.95,50560,0.948
5,1578430372.4,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430372.4,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430372.4,AUXNY,USD,50370,0.95,50590,0.953
8,1578430372.4,AUXNY,GBP,38380,0.948,38570,0.926
9,1578430372.4,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430372.4,AUXTR,USD,50370,0.95,50590,0.953
11,1578430372.4,AUXTR,GBP,38380,0.948,38570,0.926
12,1578430372.4,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430372.4,AUXSG,USD,50410,0.95,50600,0.5
14,1578430372.4,AUXSG,GBP,38420,0.934,38580,1.896
15,1578430372.4,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430372.4,AGXZU,USD,590,7.463,592,4.999
17,1578430372.4,AGXZU,GBP,448,54.201,450,0.543
18,1578430372.4,AGXZU,EUR,525,9.996,528,55.182
19,1578430372.4,AGXLN,USD,590,27.263,591,1.996
20,1578430372.4,AGXLN,GBP,448,54.435,450,3.318
21,1578430372.4,AGXLN,EUR,528,41.732,531,14.965
22,1578430372.4,AGXTR,USD,589,27.225,595,0.623
23,1578430372.4,AGXTR,GBP,448,26.231,456,26.861
24,1578430372.4,AGXTR,EUR,528,26.708,536,6.23
25,1578430372.4,AGXSG,USD,590,7.463,595,0.093
26,1578430372.4,AGXSG,GBP,448,26.231,455,21.349
27,1578430372.4,AGXSG,EUR,528,26.708,535,3
28,1578430372.4,PTXLN,USD,31060,0.638,31330,0.654
29,1578430372.4,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430372.4,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430377.6,AUXZU,USD,50410,0.056,50570,0.948
1,1578430377.6,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430377.6,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430377.6,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430377.6,AUXLN,USD,50410,0.95,50560,0.948
5,1578430377.6,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430377.6,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430377.6,AUXNY,USD,50370,0.95,50590,0.953
8,1578430377.6,AUXNY,GBP,38380,0.948,38570,0.926
9,1578430377.6,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430377.6,AUXTR,USD,50370,0.95,50590,0.953
11,1578430377.6,AUXTR,GBP,38380,0.948,38570,0.926
12,1578430377.6,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430377.6,AUXSG,USD,50410,0.95,50600,0.5
14,1578430377.6,AUXSG,GBP,38420,0.934,38580,1.896
15,1578430377.6,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430377.6,AGXZU,USD,590,7.463,592,4.999
17,1578430377.6,AGXZU,GBP,448,54.201,450,0.543
18,1578430377.6,AGXZU,EUR,525,9.996,528,55.182
19,1578430377.6,AGXLN,USD,590,27.263,591,1.996
20,1578430377.6,AGXLN,GBP,448,54.435,450,3.318
21,1578430377.6,AGXLN,EUR,528,41.732,531,14.965
22,1578430377.6,AGXTR,USD,589,27.225,595,0.623
23,1578430377.6,AGXTR,GBP,448,26.231,456,26.861
24,1578430377.6,AGXTR,EUR,528,26.708,536,6.23
25,1578430377.6,AGXSG,USD,590,7.463,595,0.093
26,1578430377.6,AGXSG,GBP,448,26.231,455,21.349
27,1578430377.6,AGXSG,EUR,528,26.708,535,3
28,1578430377.6,PTXLN,USD,31060,0.638,31330,0.654
29,1578430377.6,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430377.6,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430382.7,AUXZU,USD,50410,0.056,50570,0.948
1,1578430382.7,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430382.7,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430382.7,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430382.7,AUXLN,USD,50410,0.95,50560,0.948
5,1578430382.7,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430382.7,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430382.7,AUXNY,USD,50370,0.95,50590,0.953
8,1578430382.7,AUXNY,GBP,38380,0.948,38570,0.926
9,1578430382.7,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430382.7,AUXTR,USD,50370,0.95,50590,0.953
11,1578430382.7,AUXTR,GBP,38380,0.948,38570,0.926
12,1578430382.7,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430382.7,AUXSG,USD,50410,0.95,50600,0.5
14,1578430382.7,AUXSG,GBP,38420,0.934,38580,1.896
